text,expected_language
I want to commend the pilots for a very smooth landing in difficult weather.,en
The headphones provided for the entertainment system were broken.,en
I can't find information about the baggage allowance.,en
My suitcase was not loaded onto the plane.,en
The app is showing the wrong gate number.,en
I need assistance with the check-in process.,en
My seat was changed without any notification.,en
The meal was better than I expected on a short-haul flight.,en
How do I file a report for a lost baggage?,en
The discount code is not working at checkout.,en
The support agent I spoke to was completely unhelpful.,en
How long will it take to receive my compensation?,en
The take-off and landing were perfectly smooth.,en
A wheel was broken off my suitcase.,en
Your website is extremely slow to load.,en
"We were not offered any food on a 4-hour flight.",en
How can I change the passenger name on a ticket?,en
"It's very cramped, my knees are hitting the seat in front.",en
The check-in process was fast and easy.,en
The in-flight entertainment screen was not working.,en
I have a question about my booking.,en
My baggage is damaged.,en
The app crashed during payment.,en
The flight is delayed again.,en
The staff was very unhelpful.,en
The food was inedible.,en
Where is the lost and found office?,en
I cannot check-in online.,en
The flight was cancelled without any prior notice.,en
The customer service was excellent.,en
The plane was dirty.,en
I can't find my booking on your app.,en
"Great flight, thank you to the crew.",en
The seat was broken.,en
What is the baggage allowance for this flight?,en
My bag did not arrive.,en
The website is down.,en
What's the status of flight LH456?,en
Very rude ground crew.,en
The on-board meal was delicious.,en
My luggage has been stolen.,en
"I'm unable to change my flight details online.",en
We were not informed about the gate change.,en
"A very pleasant journey, thank you.",en
The recline button on my seat is jammed.,en
Help! ,en
Lost baggage,en
Cancelled,en
Thank you,en
Complaint,en
Help,en
Delayed,en
Broken,en
Error,en
Website problem,en
Bad food,en
Rude staff,en
Lost my bag,en
Payment issue,en
Flight delayed,en
Dirty cabin,en
Thanks crew,en
No legroom,en
Uncomfortable,en
Good experience,en
Question,en
Flight info,en
Compensation?,en
Broken seat,en
Online check-in,en
Mobile app,en
Customer support,en
Seat selection,en
"Mein Gepäck ist auf dem Flug nach Berlin verloren gegangen.",de
Warum wurde mein Flug annulliert?,de
Das Kabinenpersonal war außerordentlich freundlich.,de
"Mein Koffer kam mit einem Riss an.",de
Ihre App funktioniert nicht richtig.,de
Ich möchte eine Beschwerde über unhöfliches Personal einreichen.,de
Das Essen an Bord war kalt.,de
"Wie beantrage ich eine Entschädigung für den Flugausfall?",de
Ich kann meine Bordkarte nicht finden.,de
"Die Online-Zahlung schlägt fehl.",de
"Vielen Dank für den tollen Service, das war super.",de
Das Flugzeug war innen nicht sauber.,de
Ich kann meinen Sitzplatz nicht online auswählen.,de
"Mein Koffer wurde beschädigt, ein Rad ist ab.",de
Der Check-in-Schalter öffnet wann?,de
Das Essen war überraschend lecker.,de
Hilfe,de
Gepäckverlust,de
Annulliert,de
Danke,de
Kaputt,de
"Flug verspätet.",de
Schlechter Service,de
"Mi equipaje no ha llegado en el vuelo IB345.",es
El sitio web me da un error al intentar pagar.,es
"¿Por qué han cancelado el vuelo a Madrid?",es
La tripulación de cabina fue muy amable y profesional.,es
Mi maleta ha llegado rota.,es
La aplicación móvil no funciona correctamente.,es
El vuelo se ha retrasado más de tres horas.,es
Quisiera presentar una queja sobre el personal de facturación.,es
La comida a bordo estaba fría.,es
"Cómo puedo solicitar una compensación por el vuelo cancelado?",es
He perdido mi tarjeta de embarque.,es
"El pago con mi tarjeta es rechazado en la web.",es
"Gracias por su ayuda, el servicio fue excelente.",es
La cabina del avión estaba sucia.,es
No puedo seleccionar mi asiento en la aplicación.,es
La rueda de mi maleta está rota.,es
"¿Cuándo empieza el embarque para el vuelo a Barcelona?",es
Ayuda,es
Cancelado,es
Gracias,es
"Equipaje perdido.",es
Roto,es
"Vuelo retrasado.",es
Mal servicio,es
"Mon bagage a été perdu sur le vol pour Paris.",fr
Le site web affiche une erreur de paiement.,fr
Pourquoi mon vol a-t-il été annulé ?,fr
"Le personnel de bord était très sympathique.",fr
Ma valise est arrivée endommagée.,fr
Votre application mobile ne cesse de planter.,fr
Le vol a plus de deux heures de retard.,fr
Je souhaite déposer une réclamation concernant un agent au sol.,fr
Le repas servi à bord était froid.,fr
"Comment puis-je obtenir une indemnisation pour l'annulation?",fr
J'ai perdu ma carte d'embarquement.,fr
"Le paiement en ligne ne fonctionne pas.",fr
"Merci pour l'excellent service et votre aide.",fr
La cabine de l'avion n'était pas propre.,fr
Je n'arrive pas à choisir mon siège en ligne.,fr
"La poignée de ma valise est cassée.",fr
À quelle heure commence l'embarquement ?,fr
Au secours,fr
Annulé,fr
Merci,fr
"Bagage perdu.",fr
Cassé,fr
"Vol retardé.",fr
Service client horrible,fr
